Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in ₹ Lakhs,Open Int,Change in OI,Underlying Value  
IDEA,03-Jan-2022,27-Jan-2022,CE,10.00,-,-,-,6.40,6.40,5.65,-,-,-,140000.00,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,11.00,-,-,-,4.05,4.05,4.75,-,-,-,420000.00,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,12.00,3.70,4.10,3.65,3.80,3.80,3.80,12.00,133.21,32.41,3010000.00,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,13.00,2.85,3.30,2.80,2.85,2.85,2.85,24.00,269.54,51.13,2240000.00,-490000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,14.00,2.10,2.50,1.95,2.20,2.15,2.20,99.00,1124.41,154.21,18830000.00,350000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,15.00,1.50,1.90,1.40,1.50,1.45,1.50,523.00,6097.14,605.64,51730000.00,-4550000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,16.00,1.10,1.40,0.95,1.05,1.05,1.05,1799.00,21647.08,1498.28,50680000.00,3150000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,17.00,0.75,1.00,0.70,0.70,0.70,0.70,1460.00,18231.74,857.75,32200000.00,7140000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,18.00,0.55,0.70,0.45,0.50,0.50,0.50,1202.00,15646.36,501.17,26810000.00,3570000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,19.00,0.40,0.50,0.30,0.35,0.30,0.35,724.00,9842.42,213.22,22680000.00,5740000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,2.00,-,-,-,7.75,-,13.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,20.00,0.30,0.40,0.20,0.25,0.25,0.25,738.00,10494.12,162.12,34020000.00,2030000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,21.00,0.25,0.30,0.15,0.20,0.15,0.20,517.00,7683.52,83.61,18760000.00,5740000.00,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,3.00,-,-,-,6.75,-,12.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,4.00,-,-,-,5.80,-,11.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,5.00,-,-,-,4.95,-,10.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,6.00,-,-,-,4.15,-,9.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,7.00,-,-,-,3.45,-,8.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,8.00,-,-,-,2.85,-,7.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,27-Jan-2022,CE,9.00,-,-,-,2.35,-,6.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,10.00,-,-,-,3.15,-,5.90,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,11.00,-,-,-,2.70,-,5.15,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,12.00,-,-,-,4.35,4.35,4.40,-,-,-,350000.00,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,13.00,-,-,-,1.95,-,3.75,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,14.00,2.70,2.70,2.70,2.70,2.70,2.70,1.00,11.69,1.89,70000.00,70000.00,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,15.00,2.35,2.35,2.35,2.35,2.35,2.70,1.00,12.14,1.65,70000.00,70000.00,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,16.00,1.80,1.80,1.75,1.75,1.75,2.25,3.00,37.34,3.75,350000.00,140000.00,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,17.00,-,-,-,3.05,3.05,1.90,-,-,-,70000.00,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,18.00,1.40,1.40,1.05,1.15,1.05,1.15,4.00,53.87,3.46,280000.00,140000.00,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,19.00,-,-,-,0.70,-,1.30,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,2.00,-,-,-,9.70,-,13.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,20.00,0.95,1.00,0.75,0.80,0.75,0.80,15.00,218.93,8.93,1050000.00,700000.00,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,21.00,0.70,0.75,0.55,0.60,0.60,0.90,17.00,258.23,8.33,1330000.00,700000.00,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,3.00,-,-,-,8.70,-,12.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,4.00,-,-,-,7.75,-,11.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,5.00,-,-,-,6.80,-,10.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,6.00,-,-,-,5.90,-,9.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,7.00,-,-,-,5.10,-,8.65,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,8.00,-,-,-,4.40,-,7.70,-,-,-,-,-,15.55
IDEA,03-Jan-2022,24-Feb-2022,CE,9.00,-,-,-,3.75,-,6.80,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,10.00,-,-,-,5.00,-,6.30,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,11.00,-,-,-,4.40,-,5.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,12.00,-,-,-,3.85,-,4.95,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,13.00,-,-,-,3.35,-,4.35,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,14.00,-,-,-,2.90,-,3.85,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,15.00,-,-,-,2.55,-,3.40,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,16.00,-,-,-,2.20,-,3.00,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,17.00,-,-,-,1.90,-,2.65,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,18.00,-,-,-,1.65,-,2.30,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,19.00,-,-,-,1.45,-,2.05,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,20.00,-,-,-,1.25,-,1.80,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,21.00,-,-,-,1.10,-,1.55,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,4.00,-,-,-,10.05,-,11.60,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,5.00,-,-,-,9.10,-,10.65,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,6.00,-,-,-,8.15,-,9.70,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,7.00,-,-,-,7.30,-,8.75,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,8.00,-,-,-,6.45,-,7.90,-,-,-,-,-,15.55
IDEA,03-Jan-2022,31-Mar-2022,CE,9.00,-,-,-,5.70,-,7.05,-,-,-,-,-,15.55
IDEA,04-Jan-2022,27-Jan-2022,CE,10.00,-,-,-,6.40,6.40,5.35,-,-,-,140000.00,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,11.00,-,-,-,4.05,4.05,4.45,-,-,-,420000.00,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,12.00,4.00,4.00,3.40,3.55,3.55,3.55,6.00,65.56,15.15,3150000.00,140000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,13.00,3.00,3.05,2.60,2.70,2.70,2.70,21.00,231.46,40.35,2240000.00,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,14.00,2.25,2.30,1.85,1.90,1.85,1.90,69.00,772.59,96.39,18970000.00,140000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,15.00,1.60,1.60,1.15,1.30,1.25,1.30,418.00,4780.82,391.82,50470000.00,-1260000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,16.00,1.05,1.15,0.80,0.85,0.80,0.85,1109.00,13132.81,712.00,57190000.00,6510000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,17.00,0.75,0.75,0.50,0.60,0.55,0.60,861.00,10621.49,375.58,32270000.00,70000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,18.00,0.50,0.55,0.35,0.40,0.35,0.40,753.00,9713.86,226.06,27790000.00,980000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,19.00,0.35,0.35,0.25,0.30,0.25,0.30,475.00,6420.23,102.72,22540000.00,-140000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,2.00,-,-,-,7.75,-,13.25,-,-,-,-,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,20.00,0.25,0.30,0.15,0.20,0.20,0.20,307.00,4343.68,45.67,38430000.00,4410000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,21.00,0.20,0.20,0.10,0.15,0.15,0.15,313.00,4633.97,32.87,19600000.00,840000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,3.00,-,-,-,6.75,-,12.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,4.00,-,-,-,5.80,-,11.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,5.00,-,-,-,4.95,-,10.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,6.00,-,-,-,4.15,-,9.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,7.00,8.40,8.40,8.40,8.40,8.40,8.30,1.00,10.78,5.88,70000.00,70000.00,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,8.00,-,-,-,2.85,-,7.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,27-Jan-2022,CE,9.00,-,-,-,2.35,-,6.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,10.00,-,-,-,3.15,-,5.65,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,11.00,-,-,-,2.70,-,4.85,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,12.00,-,-,-,4.35,4.35,4.15,-,-,-,350000.00,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,13.00,-,-,-,1.95,-,3.50,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,14.00,-,-,-,2.70,2.70,2.95,-,-,-,70000.00,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,15.00,1.75,2.00,1.75,2.00,2.00,2.50,3.00,35.35,3.85,280000.00,210000.00,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,16.00,1.50,1.55,1.40,1.40,1.40,2.10,7.00,85.61,7.21,700000.00,350000.00,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,17.00,1.10,1.10,1.10,1.10,1.10,1.75,1.00,12.67,0.77,70000.00,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,18.00,1.25,1.30,0.90,0.90,0.90,1.45,10.00,133.59,7.59,560000.00,280000.00,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,19.00,-,-,-,0.70,-,1.20,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,2.00,-,-,-,9.70,-,13.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,20.00,0.70,0.75,0.65,0.75,0.75,1.00,9.00,130.48,4.48,1260000.00,210000.00,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,21.00,0.55,0.65,0.55,0.55,0.55,0.80,11.00,166.32,4.62,1540000.00,210000.00,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,3.00,-,-,-,8.70,-,12.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,4.00,-,-,-,7.75,-,11.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,5.00,-,-,-,6.80,-,10.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,6.00,-,-,-,5.90,-,9.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,7.00,-,-,-,5.10,-,8.35,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,8.00,-,-,-,4.40,-,7.40,-,-,-,-,-,15.25
IDEA,04-Jan-2022,24-Feb-2022,CE,9.00,-,-,-,3.75,-,6.50,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,10.00,-,-,-,5.00,-,6.00,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,11.00,-,-,-,4.40,-,5.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,12.00,-,-,-,3.85,-,4.70,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,13.00,-,-,-,3.35,-,4.15,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,14.00,-,-,-,2.90,-,3.65,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,15.00,-,-,-,2.55,-,3.20,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,16.00,-,-,-,2.20,-,2.80,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,17.00,-,-,-,1.90,-,2.45,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,18.00,2.00,2.00,1.95,1.95,1.95,1.95,2.00,27.96,2.77,140000.00,140000.00,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,19.00,-,-,-,1.45,-,1.90,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,20.00,-,-,-,1.25,-,1.65,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,21.00,-,-,-,1.10,-,1.45,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,4.00,-,-,-,10.05,-,11.30,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,5.00,-,-,-,9.10,-,10.35,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,6.00,-,-,-,8.15,-,9.40,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,7.00,-,-,-,7.30,-,8.45,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,8.00,-,-,-,6.45,-,7.60,-,-,-,-,-,15.25
IDEA,04-Jan-2022,31-Mar-2022,CE,9.00,-,-,-,5.70,-,6.75,-,-,-,-,-,15.25
IDEA,05-Jan-2022,27-Jan-2022,CE,10.00,-,-,-,6.40,6.40,5.20,-,-,-,140000.00,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,11.00,-,-,-,4.05,4.05,4.30,-,-,-,420000.00,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,12.00,3.45,3.55,3.45,3.55,3.55,3.45,3.00,32.52,7.32,3080000.00,-70000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,13.00,2.60,2.70,2.45,2.45,2.45,2.45,8.00,87.33,14.53,2170000.00,-70000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,14.00,2.00,2.10,1.70,1.75,1.70,1.75,35.00,388.01,45.01,19250000.00,280000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,15.00,1.30,1.50,1.15,1.20,1.15,1.20,383.00,4366.15,344.64,53620000.00,3150000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,16.00,0.80,1.05,0.75,0.75,0.75,0.75,966.00,11393.76,574.56,61390000.00,4200000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,17.00,0.55,0.70,0.45,0.50,0.50,0.50,983.00,12084.24,386.54,39200000.00,6930000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,18.00,0.40,0.50,0.30,0.30,0.30,0.30,399.00,5134.81,107.42,30170000.00,2380000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,19.00,0.30,0.35,0.20,0.25,0.25,0.25,240.00,3236.91,44.91,22190000.00,-350000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,2.00,-,-,-,7.75,-,13.10,-,-,-,-,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,20.00,0.20,0.25,0.15,0.20,0.20,0.20,265.00,3746.99,36.99,41230000.00,2800000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,21.00,0.15,0.20,0.10,0.15,0.15,0.15,198.00,2931.60,21.00,21000000.00,1400000.00,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,3.00,-,-,-,6.75,-,12.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,4.00,-,-,-,5.80,-,11.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,5.00,-,-,-,4.95,-,10.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,6.00,-,-,-,4.15,-,9.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,7.00,-,-,-,8.40,8.40,8.15,-,-,-,70000.00,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,8.00,-,-,-,2.85,-,7.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,27-Jan-2022,CE,9.00,-,-,-,2.35,-,6.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,10.00,-,-,-,3.15,-,5.50,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,11.00,-,-,-,2.70,-,4.70,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,12.00,-,-,-,4.35,4.35,4.00,-,-,-,350000.00,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,13.00,-,-,-,1.95,-,3.40,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,14.00,-,-,-,2.70,2.70,2.85,-,-,-,70000.00,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,15.00,2.00,2.00,2.00,2.00,2.00,2.35,1.00,11.90,1.40,350000.00,70000.00,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,16.00,1.40,1.40,1.40,1.40,1.40,1.40,6.00,73.08,5.88,1050000.00,350000.00,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,17.00,-,-,-,1.10,1.10,1.65,-,-,-,70000.00,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,18.00,1.05,1.10,0.90,0.90,0.90,0.90,15.00,199.15,10.15,980000.00,420000.00,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,19.00,-,-,-,0.70,-,1.10,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,2.00,-,-,-,9.70,-,13.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,20.00,0.90,0.90,0.65,0.65,0.65,0.65,10.00,145.22,5.21,1540000.00,280000.00,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,21.00,0.55,0.60,0.50,0.50,0.50,0.50,8.00,120.64,3.04,1820000.00,280000.00,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,3.00,-,-,-,8.70,-,12.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,4.00,-,-,-,7.75,-,11.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,5.00,-,-,-,6.80,-,10.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,6.00,-,-,-,5.90,-,9.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,7.00,-,-,-,5.10,-,8.20,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,8.00,-,-,-,4.40,-,7.25,-,-,-,-,-,15.10
IDEA,05-Jan-2022,24-Feb-2022,CE,9.00,-,-,-,3.75,-,6.35,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,10.00,-,-,-,5.00,-,5.85,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,11.00,-,-,-,4.40,-,5.20,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,12.00,-,-,-,3.85,-,4.55,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,13.00,-,-,-,3.35,-,4.00,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,14.00,-,-,-,2.90,-,3.50,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,15.00,-,-,-,2.55,-,3.05,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,16.00,-,-,-,2.20,-,2.70,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,17.00,-,-,-,1.90,-,2.35,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,18.00,-,-,-,1.95,1.95,2.05,-,-,-,140000.00,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,19.00,-,-,-,1.45,-,1.80,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,20.00,-,-,-,1.25,-,1.55,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,21.00,-,-,-,1.10,-,1.35,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,4.00,-,-,-,10.05,-,11.15,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,5.00,-,-,-,9.10,-,10.20,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,6.00,-,-,-,8.15,-,9.25,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,7.00,-,-,-,7.30,-,8.30,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,8.00,-,-,-,6.45,-,7.45,-,-,-,-,-,15.10
IDEA,05-Jan-2022,31-Mar-2022,CE,9.00,-,-,-,5.70,-,6.60,-,-,-,-,-,15.10
IDEA,06-Jan-2022,27-Jan-2022,CE,10.00,-,-,-,6.40,6.40,5.40,-,-,-,140000.00,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,11.00,-,-,-,4.05,4.05,4.45,-,-,-,420000.00,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,12.00,3.30,3.50,3.15,3.50,3.50,3.50,4.00,42.95,9.35,3080000.00,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,13.00,2.40,2.90,2.40,2.65,2.65,2.65,11.00,121.00,20.89,2450000.00,280000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,14.00,1.70,2.20,1.70,1.85,1.85,1.85,43.00,479.64,58.24,18480000.00,-770000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,15.00,1.15,1.55,1.05,1.30,1.25,1.30,558.00,6358.66,499.66,55090000.00,1470000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,16.00,0.70,1.05,0.70,0.85,0.85,0.85,1481.00,17519.35,932.15,67970000.00,6580000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,17.00,0.45,0.75,0.45,0.60,0.55,0.60,1145.00,14089.42,463.93,39480000.00,280000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,18.00,0.30,0.55,0.30,0.40,0.40,0.40,1278.00,16461.31,358.50,35630000.00,5460000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,19.00,0.25,0.40,0.20,0.30,0.30,0.30,455.00,6144.98,93.48,22960000.00,770000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,2.00,-,-,-,7.75,-,13.30,-,-,-,-,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,20.00,0.15,0.30,0.15,0.20,0.20,0.20,309.00,4374.58,48.58,44590000.00,3360000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,21.00,0.15,0.20,0.10,0.15,0.15,0.15,258.00,3820.04,27.44,20930000.00,-70000.00,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,3.00,-,-,-,6.75,-,12.35,-,-,-,-,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,4.00,-,-,-,5.80,-,11.35,-,-,-,-,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,5.00,-,-,-,4.95,-,10.35,-,-,-,-,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,6.00,-,-,-,4.15,-,9.35,-,-,-,-,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,7.00,-,-,-,8.40,8.40,8.35,-,-,-,70000.00,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,8.00,-,-,-,2.85,-,7.35,-,-,-,-,-,15.30
IDEA,06-Jan-2022,27-Jan-2022,CE,9.00,-,-,-,2.35,-,6.35,-,-,-,-,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,10.00,-,-,-,3.15,-,5.65,-,-,-,-,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,11.00,-,-,-,2.70,-,4.85,-,-,-,-,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,12.00,-,-,-,4.35,4.35,4.15,-,-,-,350000.00,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,13.00,-,-,-,1.95,-,3.50,-,-,-,-,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,14.00,-,-,-,2.70,2.70,2.95,-,-,-,70000.00,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,15.00,2.00,2.20,2.00,2.20,2.20,2.45,3.00,35.84,4.34,490000.00,140000.00,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,16.00,1.50,1.50,1.50,1.50,1.50,2.05,2.00,24.50,2.10,1050000.00,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,17.00,1.25,1.25,1.20,1.20,1.20,1.70,2.00,25.52,1.72,140000.00,70000.00,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,18.00,1.10,1.10,0.85,0.85,0.85,0.85,12.00,159.11,7.91,1540000.00,560000.00,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,19.00,0.90,0.90,0.80,0.80,0.80,1.15,2.00,27.79,1.19,-,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,2.00,-,-,-,9.70,-,13.35,-,-,-,-,-,15.30
IDEA,06-Jan-2022,24-Feb-2022,CE,20.00,0.65,0.70,0.65,0.65,0.65,0.95,9.00,130.27,4.27,1750000.00,210000.00,15.30
